"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Peatón","Muerte","77","Hombre","No aplica",2023,"San José","Curridabat","Granadilla","4.Miércoles","E. Mayo","75 y más"
"Conductor","Muerte","43","Hombre","Rural",2023,"Alajuela","Grecia","Puente de Piedra","7.Sábado","B. Febrero","De 40 a 44"
"Motociclista","Muerte","37","Hombre","Motocicleta",2023,"Heredia","Heredia","San Francisco","3.Martes","E. Mayo","De 35 a 39"
"Peatón","Muerte","24","Mujer","No aplica",2023,"Alajuela","Orotina","Coyolar","6.Viernes","B. Febrero","De 20 a 24"
"Conductor","Muerte","61","Hombre","Automóvil",2023,"San José","León Cortés","San Andrés","3.Martes","G. Julio","De 60 a 64"
"Conductor","Muerte","51","Mujer","Rural",2023,"Cartago","Paraíso","Birrisito","1.Domingo","G. Julio","De 50 a 54"
"Ciclista","Muerte","Desconocido","Hombre","Bicicleta",2023,"Heredia","Sarapiquí","Las Horquetas","7.Sábado","C. Marzo","Desconocida"
"Peatón","Muerte","60","Hombre","No aplica",2023,"San José","San José","Hospital","6.Viernes","D. Abril","De 60 a 64"
"Pasajero carro","Muerte","59","Mujer","Automóvil",2023,"Heredia","Sarapiquí","Las Horquetas","6.Viernes","I. Setiembre","De 55 a 59"
"Ciclista","Muerte","18","Hombre","Bicicleta",2023,"Limón","Pococí","Roxana","7.Sábado","I. Setiembre","De 15 a 19"
"Motociclista","Muerte","26","Hombre","Motocicleta",2023,"Limón","Pococí","Guápiles","1.Domingo","J. Octubre","De 25 a 29"
"Motociclista","Muerte","19","Hombre","Motocicleta",2023,"Puntarenas","Puerto Jiménez","Puerto Jiménez","7.Sábado","A. Enero","De 15 a 19"
"Motociclista","Muerte","31","Hombre","Motocicleta",2023,"Puntarenas","Golfito","Golfito","7.Sábado","L. Diciembre","De 30 a 34"
"Conductor","Muerte","33","Hombre","Rural",2023,"Cartago","Paraíso","Llanos de Santa Lucía","7.Sábado","B. Febrero","De 30 a 34"
"Motociclista","Muerte","22","Hombre","Motocicleta",2023,"San José","Goicoechea","Guadalupe","2.Lunes","L. Diciembre","De 20 a 24"
"Pasajero carro","Muerte","21","Mujer","Camión",2023,"San José","Santa Ana","Salitral","6.Viernes","L. Diciembre","De 20 a 24"
"Motociclista","Muerte","65","Hombre","Motocicleta",2023,"Puntarenas","Parrita","Parrita","4.Miércoles","B. Febrero","De 65 a 69"
"Motociclista","Muerte","58","Hombre","Motocicleta",2023,"Puntarenas","Garabito","Jacó","1.Domingo","C. Marzo","De 55 a 59"
"Motociclista","Muerte","42","Hombre","Motocicleta",2023,"Puntarenas","Quepos","Savegre","6.Viernes","E. Mayo","De 40 a 44"
"Conductor","Muerte","63","Hombre","Automóvil",2023,"Puntarenas","Quepos","Quepos","5.Jueves","F. Junio","De 60 a 64"
"Pasajero carro","Muerte","60","Mujer","Automóvil",2023,"Puntarenas","Quepos","Quepos","5.Jueves","F. Junio","De 60 a 64"
"Motociclista","Muerte","38","Hombre","Motocicleta",2023,"Puntarenas","Garabito","Jacó","7.Sábado","G. Julio","De 35 a 39"
"Conductor","Muerte","33","Hombre","Pick up",2023,"Puntarenas","Quepos","Savegre","2.Lunes","L. Diciembre","De 30 a 34"
"Motociclista","Muerte","21","Hombre","Motocicleta",2023,"Puntarenas","Coto Brus","Sabalito","5.Jueves","K. Noviembre","De 20 a 24"
"Motociclista","Muerte","25","Hombre","Motocicleta",2023,"Alajuela","Alajuela","San Rafael","2.Lunes","E. Mayo","De 25 a 29"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Alajuela","Alajuela","San Rafael","3.Martes","G. Julio","Desconocida"
"Conductor","Muerte","61","Hombre","Camión",2023,"Alajuela","Atenas","Escobal","4.Miércoles","L. Diciembre","De 60 a 64"
"Pasajero carro","Muerte","47","Hombre","Camión",2023,"Alajuela","Atenas","Escobal","4.Miércoles","L. Diciembre","De 45 a 49"
"Pasajero carro","Muerte","18","Hombre","Camión",2023,"Alajuela","Atenas","Escobal","4.Miércoles","L. Diciembre","De 15 a 19"
"Motociclista","Muerte","38","Hombre","Motocicleta",2023,"Heredia","Heredia","Ulloa","1.Domingo","H. Agosto","De 35 a 39"
"Peatón","Muerte","47","Hombre","No aplica",2023,"Alajuela","Alajuela","Río Segundo","1.Domingo","J. Octubre","De 45 a 49"
"Motociclista","Muerte","23","Hombre","Motocicleta",2023,"San José","San José","Pavas","7.Sábado","A. Enero","De 20 a 24"
"Pasajero moto","Muerte","46","Mujer","Motocicleta",2023,"San José","San José","Catedral","1.Domingo","C. Marzo","De 45 a 49"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Cartago","La Unión","San Diego","7.Sábado","I. Setiembre","Desconocida"
"Motociclista","Muerte","35","Hombre","Motocicleta",2023,"San José","Vázquez de Coronado","Dulce Nombre de Jesús","4.Miércoles","D. Abril","De 35 a 39"
"Motociclista","Muerte","26","Hombre","Motocicleta",2023,"Alajuela","Grecia","Puente de Piedra","1.Domingo","B. Febrero","De 25 a 29"
"Motociclista","Muerte","32","Hombre","Motocicleta",2023,"Alajuela","Alajuela","Garita","4.Miércoles","E. Mayo","De 30 a 34"
"Motociclista","Muerte","34","Hombre","Motocicleta",2023,"Alajuela","Palmares","La Granja","6.Viernes","B. Febrero","De 30 a 34"
"Motociclista","Muerte","35","Hombre","Motocicleta",2023,"San José","San José","Catedral","7.Sábado","E. Mayo","De 35 a 39"
"Conductor","Muerte","24","Hombre","Automóvil",2023,"San José","Vázquez de Coronado","Patalillo","4.Miércoles","E. Mayo","De 20 a 24"
"Pasajero moto","Muerte","28","Hombre","Motocicleta",2023,"Cartago","El Guarco","Patio de Agua","1.Domingo","L. Diciembre","De 25 a 29"
"Conductor","Muerte","19","Hombre","Automóvil",2023,"San José","Pérez Zeledón","San Isidro de El General","6.Viernes","I. Setiembre","De 15 a 19"
"Motociclista","Muerte","23","Mujer","Motocicleta",2023,"Alajuela","Alajuela","San José","4.Miércoles","C. Marzo","De 20 a 24"
"Motociclista","Muerte","30","Hombre","Motocicleta",2023,"Alajuela","Alajuela","Alajuela","2.Lunes","F. Junio","De 30 a 34"
"Conductor","Muerte","27","Hombre","Automóvil",2023,"Alajuela","Alajuela","Río Segundo","4.Miércoles","H. Agosto","De 25 a 29"
"Motociclista","Muerte","28","Hombre","Motocicleta",2023,"Alajuela","Upala","Canalete","7.Sábado","D. Abril","De 25 a 29"
"Motociclista","Muerte","53","Hombre","Motocicleta",2023,"Alajuela","San Carlos","Cutris","3.Martes","F. Junio","De 50 a 54"
"Motociclista","Muerte","55","Hombre","Motocicleta",2023,"Alajuela","San Carlos","Pocosol","5.Jueves","G. Julio","De 55 a 59"
"Ciclista","Muerte","65","Hombre","Bicicleta",2023,"Alajuela","San Carlos","Pocosol","5.Jueves","H. Agosto","De 65 a 69"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Puntarenas","Parrita","Parrita","6.Viernes","D. Abril","Desconocida"
"Motociclista","Muerte","Desconocido","Desconocido","Motocicleta",2023,"Puntarenas","Puntarenas","Cóbano","2.Lunes","B. Febrero","Desconocida"
"Motociclista","Muerte","41","Hombre","Motocicleta",2023,"Alajuela","San Carlos","Cutris","5.Jueves","C. Marzo","De 40 a 44"
